bwt-ctxmix	mr	9970564	2098063	0.210426	true	236211
bwt-geomix	mr	9970564	2098063	0.210426	true	213251
bwt-geomix	mr	9970564	2098063	0.210426	true	212204
bwt-ctxmix	mr	9970564	2098063	0.210426	true	230761
lz-rans	mr	9970564	2098063	0.210426	true	165198
lz-rans	mr	9970564	2098063	0.210426	true	173303
auto	x-ray	8474240	5220673	0.616064	true	97021
bitpack-fixed	x-ray	8474240	5220673	0.616064	true	98990
auto	x-ray	8474240	5220673	0.616064	true	91610
bitpack-fixed	x-ray	8474240	5220673	0.616064	true	102416
rle-codes	x-ray	8474240	5220673	0.616064	true	96789
rle-codes	x-ray	8474240	5220673	0.616064	true	98404
entropy	x-ray	8474240	4649922	0.548713	true	90852
entropy-context	x-ray	8474240	4945642	0.583609	false	96885
entropy	x-ray	8474240	4649922	0.548713	true	94021
entropy-context	x-ray	8474240	4945642	0.583609	false	94781
entropy-context-2	x-ray	8474240	4933379	0.582162	true	96465
entropy-context-2	x-ray	8474240	4933379	0.582162	true	115540
bwt-entropy	x-ray	8474240	4945642	0.583609	false	127396
bwt-entropy	x-ray	8474240	4945642	0.583609	false	115937
bwt-rans	x-ray	8474240	3771607	0.445067	true	162996
order2-rans	x-ray	8474240	3771607	0.445067	true	160274
bwt-rans	x-ray	8474240	3771607	0.445067	true	173035
order2-rans	x-ray	8474240	3771607	0.445067	true	167713
bwt-adaptive	x-ray	8474240	3771607	0.445067	true	165691
bwt-adaptive	x-ray	8474240	3771607	0.445067	true	164141
bwt-ctxmix	x-ray	8474240	3771607	0.445067	true	163439
bwt-geomix	x-ray	8474240	3771607	0.445067	true	165976
bwt-ctxmix	x-ray	8474240	3771607	0.445067	true	166001
lz-rans	enwik8	100000000	26222250	0.262223	true	2184803
bwt-geomix	x-ray	8474240	3771607	0.445067	true	160787
lz-rans	x-ray	8474240	3771607	0.445067	true	158397
lz-rans	x-ray	8474240	3771607	0.445067	true	162862
lz-rans	enwik8	100000000	26222250	0.262223	true	2206409
bitpack-fixed	silesia/mozilla	51220480	15788540	0.308247	true	409917
auto	silesia/mozilla	51220480	15788540	0.308247	true	457584
bitpack-fixed	silesia/mozilla	51220480	15788540	0.308247	true	416883
entropy	silesia/mozilla	51220480	15759067	0.307671	true	424443
auto	silesia/mozilla	51220480	15788540	0.308247	true	473349
rle-codes	silesia/mozilla	51220480	15788540	0.308247	true	469098
rle-codes	silesia/mozilla	51220480	15788540	0.308247	true	442076
entropy	silesia/mozilla	51220480	15759067	0.307671	true	499490
entropy-context	silesia/mozilla	51220480	15788540	0.308247	true	565840
entropy-context-2	silesia/mozilla	51220480	15788540	0.308247	true	622203
entropy-context	silesia/mozilla	51220480	15788540	0.308247	true	602785
bwt-entropy	silesia/mozilla	51220480	15788540	0.308247	true	578016
entropy-context-2	silesia/mozilla	51220480	15788540	0.308247	true	593493
bwt-entropy	silesia/mozilla	51220480	15788540	0.308247	true	834005
bwt-rans	silesia/mozilla	51220480	15714519	0.306801	true	937573
bwt-ctxmix	silesia/mozilla	51220480	0	0	false	87834
order2-rans	silesia/mozilla	51220480	0	0	false	490176
bwt-rans	silesia/mozilla	51220480	0	0	false	792833
bwt-geomix	silesia/mozilla	51220480	0	0	false	34986
bwt-ctxmix	silesia/mozilla	51220480	0	0	false	412693
bwt-adaptive	silesia/mozilla	51220480	0	0	false	389688
order2-rans	silesia/mozilla	51220480	0	0	false	414557
bwt-adaptive	silesia/mozilla	51220480	0	0	false	421442
lz-rans	silesia/mozilla	51220480	0	0	false	3022
lz-rans	silesia/mozilla	51220480	0	0	false	3552
bwt-geomix	silesia/mozilla	51220480	0	0	false	3811
auto	silesia/samba	21606400	4261362	0.197227	true	144719
auto	silesia/samba	21606400	4261362	0.197227	true	145071
bitpack-fixed	silesia/samba	21606400	4261362	0.197227	true	145539
entropy	silesia/samba	21606400	4208707	0.194790	true	144165
rle-codes	silesia/samba	21606400	4263994	0.197349	true	144369
entropy	silesia/samba	21606400	4208707	0.194790	true	156061
rle-codes	silesia/samba	21606400	4263994	0.197349	true	170277
bitpack-fixed	silesia/samba	21606400	4261362	0.197227	true	171044
entropy-context	silesia/samba	21606400	4241889	0.196326	false	151575
entropy-context	silesia/samba	21606400	4241889	0.196326	false	154060
entropy-context-2	silesia/samba	21606400	4250179	0.196709	true	181026
bwt-entropy	silesia/samba	21606400	4239513	0.196216	false	181268
entropy-context-2	silesia/samba	21606400	4250179	0.196709	true	186476
bwt-rans	silesia/samba	21606400	4180436	0.193481	true	169241
bwt-rans	silesia/samba	21606400	4180436	0.193481	true	177013
bwt-entropy	silesia/samba	21606400	4239513	0.196216	false	193759
bwt-adaptive	silesia/samba	21606400	4180436	0.193481	true	167408
bwt-adaptive	silesia/samba	21606400	4180436	0.193481	true	170064
bwt-ctxmix	silesia/samba	21606400	4180436	0.193481	true	165954
order2-rans	silesia/samba	21606400	4180436	0.193481	true	212923
order2-rans	silesia/samba	21606400	4180436	0.193481	true	213566
bwt-geomix	silesia/samba	21606400	4180436	0.193481	true	168445
bwt-geomix	silesia/samba	21606400	4180436	0.193481	true	169499
bwt-ctxmix	silesia/samba	21606400	4180436	0.193481	true	196178
lz-rans	silesia/samba	21606400	4180436	0.193481	true	166526
lz-rans	silesia/samba	21606400	4180436	0.193481	true	200883
auto	silesia/webster	41458703	8736211	0.210721	true	522314
auto	silesia/webster	41458703	8736211	0.210721	true	530471
bitpack-fixed	silesia/webster	41458703	8736211	0.210721	true	570379
rle-codes	silesia/webster	41458703	8736211	0.210721	true	579400
bitpack-fixed	silesia/webster	41458703	8736211	0.210721	true	621526
rle-codes	silesia/webster	41458703	8736211	0.210721	true	657290
entropy	silesia/webster	41458703	8736211	0.210721	true	536759
entropy	silesia/webster	41458703	8736211	0.210721	true	617998
bwt-entropy	silesia/webster	41458703	8736211	0.210721	true	520306
entropy-context	silesia/webster	41458703	8736211	0.210721	true	624609
entropy-context	silesia/webster	41458703	8736211	0.210721	true	625680
entropy-context-2	silesia/webster	41458703	8736211	0.210721	true	588084
entropy-context-2	silesia/webster	41458703	8736211	0.210721	true	638691
bwt-entropy	silesia/webster	41458703	8736211	0.210721	true	554317
bwt-rans	silesia/webster	41458703	8727430	0.210509	true	541706
bwt-rans	silesia/webster	41458703	8727430	0.210509	true	579103
order2-rans	silesia/webster	41458703	8727430	0.210509	true	545041
order2-rans	silesia/webster	41458703	8727430	0.210509	true	565648
bwt-ctxmix	silesia/webster	41458703	8727430	0.210509	true	543256
bwt-adaptive	silesia/webster	41458703	8727430	0.210509	true	639614
bwt-geomix	silesia/webster	41458703	8727430	0.210509	true	530457
bwt-adaptive	silesia/webster	41458703	8727430	0.210509	true	657947
bwt-ctxmix	silesia/webster	41458703	8727430	0.210509	true	637465
bwt-geomix	silesia/webster	41458703	8727430	0.210509	true	611111
lz-rans	silesia/webster	41458703	8727430	0.210509	true	519371
lz-rans	silesia/webster	41458703	8727430	0.210509	true	526416
