mr|image|9970564|{"7z": 0.275637065265315, "xz": 0.2760016384228615, "lz4": 0.4204498361376548, "rar": 0.27895132110881593, "gzip": 0.3684786537652233, "ppmd": 0.23079326304911135, "zstd": 0.3114942143694178, "bzip2": 0.2448487367414722, "brotli": 0.28314707172031595, "cubrim": 0.2077645758053406}|1
nci|database|33553445|{"7z": 0.051899588849967565, "xz": 0.04319294188718923, "lz4": 0.10813080445241911, "rar": 0.055396368390786696, "gzip": 0.08903804065424578, "ppmd": 0.06856687890021428, "zstd": 0.04814545868538983, "bzip2": 0.05402527221869468, "brotli": 0.0452939482071066, "cubrim": 0.04633482493377357}|3
ooffice|exe|6152192|{"7z": 0.3942607772969374, "xz": 0.39452994965046606, "lz4": 0.5750067618175766, "rar": 0.3742518113869008, "gzip": 0.5023318518017643, "ppmd": 0.4134170390000832, "zstd": 0.4224247227654794, "bzip2": 0.46528554375416115, "brotli": 0.4029222429989181, "cubrim": 0.28663929864347537}|1
osdb|database|10085684|{"7z": 0.28275682640860056, "xz": 0.2820389772275237, "lz4": 0.3923196483252896, "rar": 0.3209492782046314, "gzip": 0.3684769421687215, "ppmd": 0.23664136215253223, "zstd": 0.3072122822805077, "bzip2": 0.27789805827745545, "brotli": 0.27923520110287015, "cubrim": 0.21694056645042617}|1
plrabn12.txt|text|481861|{"7z": 0.3437775624090765, "xz": 0.3433687308165633, "lz4": 0.46626309246857495, "rar": 0.3643851650164674, "gzip": 0.4031805852725163, "ppmd": 0.275035746823254, "zstd": 0.34749025133804146, "bzip2": 0.30211409514362025, "brotli": 0.33882592697894204, "cubrim": 0.2614114858849336}|1
ptt5|image|513216|{"7z": 0.08224802032672403, "xz": 0.0776671031300661, "lz4": 0.12889894313505423, "rar": 0.09603948434966954, "gzip": 0.1020661865569273, "ppmd": 0.09580176767676768, "zstd": 0.08456673213617658, "bzip2": 0.09695527808953736, "brotli": 0.07976953173712432, "cubrim": 0.05739688552188552}|1
reymont|text|6627202|{"7z": 0.1989367458544345, "xz": 0.19851394298830788, "lz4": 0.31179206549008165, "rar": 0.21801764907724255, "gzip": 0.27475154673118457, "ppmd": 0.1722387517386674, "zstd": 0.20334614819346084, "bzip2": 0.18804768588614018, "brotli": 0.2010136404473562, "cubrim": 0.13883581638223794}|1
samba|code|21606400|{"7z": 0.1740118668542654, "xz": 0.1730748296800948, "lz4": 0.2827056797985782, "rar": 0.1901010348785545, "gzip": 0.2503087973933649, "ppmd": 0.19428474896327014, "zstd": 0.1794539580864929, "bzip2": 0.21057459826718009, "brotli": 0.17431594342417062, "cubrim": 0.14527774178021327}|1
sao|binary|7251944|{"7z": 0.6086541760388663, "xz": 0.6102727765134425, "lz4": 0.7819936281912823, "rar": 0.7642979592782294, "gzip": 0.7345673105032251, "ppmd": 0.6561072451745352, "zstd": 0.6895413147150612, "bzip2": 0.681268912170309, "brotli": 0.6323948447478359, "cubrim": 0.5253835385380803}|1
sum|binary|38240|{"7z": 0.25128138075313805, "xz": 0.24843096234309622, "lz4": 0.4264644351464435, "rar": 0.3036349372384937, "gzip": 0.3339958158995816, "ppmd": 0.30653765690376567, "zstd": 0.29372384937238494, "bzip2": 0.3375784518828452, "brotli": 0.26524581589958157, "cubrim": 0.24458682008368202}|1
