sample_id	media_family	variant	parse_chain	orig_bytes	modelled_bytes	store_bytes	chosen_bytes	selected	blocks	bits_frame_header	bits_block_headers	bits_table_descriptors	bits_literals	bits_lengths	bits_length_extra	bits_distances	bits_distance_extra	bits_eob	bits_checksum	bits_context_map	gzip9	brotli11	static_best_today	cm2_champion
html-medium-home-v2	html	V2-64KiB-blocks	1024	25031	5816	25047	5816	web-scheme	1	88	3	748	14893	8524	977	7619	13628	12	32	0	5801	4763	7295	4700
html-medium-home-v2	html	V3-whole-file-ctx2	1024	25031	5811	25047	5811	web-scheme	1	88	3	1151	14467	8373	977	7619	13628	11	32	138	5801	4763	7295	4700
html-medium-home-v2	html	V3-whole-file-ctx3	1024	25031	5800	25047	5800	web-scheme	1	88	3	1498	14000	8402	977	7619	13628	11	32	142	5801	4763	7295	4700
html-medium-home-v2	html	V4-64KiB-blocks-ctx2	1024	25031	5811	25047	5811	web-scheme	1	88	3	1151	14467	8373	977	7619	13628	11	32	138	5801	4763	7295	4700
html-medium-home-v2	html	V1-whole-file	opt256	25031	5648	25047	5648	web-scheme	1	88	3	769	17619	8082	954	6804	10816	12	32	0	5801	4763	7295	4700
html-medium-home-v2	html	V2-64KiB-blocks	opt256	25031	5648	25047	5648	web-scheme	1	88	3	769	17619	8082	954	6804	10816	12	32	0	5801	4763	7295	4700
html-medium-home-v2	html	V3-whole-file-ctx2	opt256	25031	5640	25047	5640	web-scheme	1	88	3	1148	16951	8171	954	6804	10816	10	32	138	5801	4763	7295	4700
html-medium-home-v2	html	V3-whole-file-ctx3	opt256	25031	5615	25047	5615	web-scheme	1	88	3	1490	16470	8110	954	6804	10816	10	32	142	5801	4763	7295	4700
html-medium-home-v2	html	V4-64KiB-blocks-ctx2	opt256	25031	5640	25047	5640	web-scheme	1	88	3	1148	16951	8171	954	6804	10816	10	32	138	5801	4763	7295	4700
javascript-medium-magic-string-v2	javascript	V1-whole-file	16	42936	10330	42952	10330	web-scheme	1	88	3	739	15716	17574	1771	17203	29498	12	32	0	9896	8672	11701	7242
javascript-medium-magic-string-v2	javascript	V2-64KiB-blocks	16	42936	10330	42952	10330	web-scheme	1	88	3	739	15716	17574	1771	17203	29498	12	32	0	9896	8672	11701	7242
javascript-medium-magic-string-v2	javascript	V3-whole-file-ctx2	16	42936	10291	42952	10291	web-scheme	1	88	3	1140	15223	17220	1771	17203	29498	11	32	138	9896	8672	11701	7242
javascript-medium-magic-string-v2	javascript	V3-whole-file-ctx3	16	42936	10295	42952	10295	web-scheme	1	88	3	1334	15070	17202	1771	17203	29498	11	32	142	9896	8672	11701	7242
javascript-medium-magic-string-v2	javascript	V4-64KiB-blocks-ctx2	16	42936	10291	42952	10291	web-scheme	1	88	3	1140	15223	17220	1771	17203	29498	11	32	138	9896	8672	11701	7242
javascript-medium-magic-string-v2	javascript	V1-whole-file	128	42936	9947	42952	9947	web-scheme	1	88	3	702	15230	16419	1920	15935	29233	12	32	0	9896	8672	11701	7242
javascript-medium-magic-string-v2	javascript	V2-64KiB-blocks	128	42936	9947	42952	9947	web-scheme	1	88	3	702	15230	16419	1920	15935	29233	12	32	0	9896	8672	11701	7242
javascript-medium-magic-string-v2	javascript	V3-whole-file-ctx2	128	42936	9910	42952	9910	web-scheme	1	88	3	1133	14418	16367	1920	15935	29233	12	32	138	9896	8672	11701	7242
javascript-medium-magic-string-v2	javascript	V3-whole-file-ctx3	128	42936	9913	42952	9913	web-scheme	1	88	3	1323	14274	16340	1920	15935	29233	12	32	142	9896	8672	11701	7242
javascript-medium-magic-string-v2	javascript	V4-64KiB-blocks-ctx2	128	42936	9910	42952	9910	web-scheme	1	88	3	1133	14418	16367	1920	15935	29233	12	32	138	9896	8672	11701	7242
javascript-medium-magic-string-v2	javascript	V1-whole-file	1024	42936	9906	42952	9906	web-scheme	1	88	3	705	15088	16292	1942	15783	29298	12	32	0	9896	8672	11701	7242
javascript-medium-magic-string-v2	javascript	V2-64KiB-blocks	1024	42936	9906	42952	9906	web-scheme	1	88	3	705	15088	16292	1942	15783	29298	12	32	0	9896	8672	11701	7242
javascript-medium-magic-string-v2	javascript	V3-whole-file-ctx2	1024	42936	9871	42952	9871	web-scheme	1	88	3	1135	14387	16150	1942	15783	29298	11	32	138	9896	8672	11701	7242
javascript-medium-magic-string-v2	javascript	V3-whole-file-ctx3	1024	42936	9874	42952	9874	web-scheme	1	88	3	1328	14240	16125	1942	15783	29298	11	32	142	9896	8672	11701	7242
javascript-medium-magic-string-v2	javascript	V4-64KiB-blocks-ctx2	1024	42936	9871	42952	9871	web-scheme	1	88	3	1135	14387	16150	1942	15783	29298	11	32	138	9896	8672	11701	7242
javascript-medium-magic-string-v2	javascript	V1-whole-file	opt256	42936	9458	42952	9458	web-scheme	1	88	3	713	17137	15673	1923	15009	25074	12	32	0	9896	8672	11701	7242
javascript-medium-magic-string-v2	javascript	V2-64KiB-blocks	opt256	42936	9458	42952	9458	web-scheme	1	88	3	713	17137	15673	1923	15009	25074	12	32	0	9896	8672	11701	7242
